GEOID,quarter,count
25025010103,2023Q1,12
25025010103,2023Q2,15
25025010103,2023Q3,18
25025010103,2023Q4,22
25025010103,2024Q1,30
25025010206,2023Q1,8
25025010206,2023Q2,10
25025010206,2023Q3,14
25025010206,2023Q4,16
25025010206,2024Q1,25
25025010403,2023Q1,5
25025010403,2023Q2,7
25025010403,2023Q3,9
25025010403,2023Q4,11
25025010403,2024Q1,14
25025010405,2023Q1,10
25025010405,2023Q2,12
25025010405,2023Q3,15
25025010405,2023Q4,18
25025010405,2024Q1,22
25025010408,2023Q1,6
25025010408,2023Q2,8
25025010408,2023Q3,10
25025010408,2023Q4,12
25025010408,2024Q1,20
25025010500,2023Q1,15
25025010500,2023Q2,18
25025010500,2023Q3,22
25025010500,2023Q4,25
25025010500,2024Q1,35
25025010600,2023Q1,9
25025010600,2023Q2,11
25025010600,2023Q3,14
25025010600,2023Q4,17
25025010600,2024Q1,21
25025010701,2023Q1,7
25025010701,2023Q2,9
25025010701,2023Q3,11
25025010701,2023Q4,13
25025010701,2024Q1,16
25025010702,2023Q1,11
25025010702,2023Q2,13
25025010702,2023Q3,16
25025010702,2023Q4,19
25025010702,2024Q1,24
25025010801,2023Q1,8
25025010801,2023Q2,10
25025010801,2023Q3,12
25025010801,2023Q4,15
25025010801,2024Q1,18
